feature,mean_abs_shap
V14,0.22751442661238108
V4,0.12818523116059194
V12,0.04549064808885692
V7,0.03605516694089865
V20,0.03331560847472165
V19,0.030026693096016615
Amount,0.028153935748123384
V3,0.02418956185480536
V16,0.022452458464270006
V10,0.02242041180090178
V23,0.02060689962806925
V17,0.020212466824231452
V11,0.018723098825937305
V8,0.017037188920378435
V13,0.015747703236028927
V21,0.013751947454962173
log_amount,0.010182222895245277
V15,0.009724470927153794
V22,0.008799492123835274
V26,0.008164873659417341
